workerid,condition,age,news,intro,state,gender,prefer,citizen,english,education,residence,political_aff,age_bin,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,batch
2681,event-maze,22,Daily,NA,FL,Female,Donald Trump,Yes,Yes,Some college,Yes,Republican,18-24,6723d2059b7a6948cef9c545,APPROVED,Not Applicable,2024-10-31T18:52:58Z,2024-10-31T18:55:23Z,2024-11-01T02:28:18Z,2024-10-31T18:55:26Z,146,COHS0MZY,133,English,Republican,22,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month,pre
1598,maze-event,32,NA,NA,KY,Female,Kamala Harris,Yes,Yes,Some college,Yes,Independent,25-34,6723bc969ac48b81af706591,APPROVED,Not Applicable,2024-10-31T17:21:36Z,2024-10-31T17:30:54Z,2024-11-01T02:26:57Z,2024-10-31T17:31:10Z,559,COHS0MZY,1810,English,Independent,32,Female,White,United States,United States,United States,English,No,Full-Time,pre
1799,cloze-event,52,NA,NA,IA,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,45-54,6723c251a657ab9e1b920e3e,APPROVED,Not Applicable,2024-10-31T17:45:59Z,2024-10-31T17:48:52Z,2024-11-01T02:24:22Z,2024-10-31T17:48:54Z,174,COHS0MZY,5331,English,Democrat,52,Female,White,United States,United States,United States,English,No,Full-Time,pre
1692,cloze-event,54,NA,NA,OR,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Independent,45-54,6723c0455eb829d85d3c91ea,APPROVED,Not Applicable,2024-10-31T17:37:15Z,2024-10-31T17:38:53Z,2024-11-01T02:22:16Z,2024-10-31T17:38:56Z,99,COHS0MZY,724,"English, Spanish",Independent,54,Male,White,United States,United States,United States,English,Yes,Full-Time,pre
2523,spr-event,56,Daily,NA,FL,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,55-64,6723cd948e91426d48befbff,APPROVED,Not Applicable,2024-10-31T18:34:02Z,2024-10-31T18:35:35Z,2024-11-01T02:19:38Z,2024-10-31T18:35:36Z,94,COHS0MZY,374,English,Democrat,56,Female,White,United States,United States,United States,English,No,Full-Time,pre
2859,event-cloze,68,Daily,NA,FL,Male,I'd rather not say,Yes,Yes,Some college,Yes,Independent,≥65,6723de40634f4e8548334bec,APPROVED,Not Applicable,2024-10-31T19:45:10Z,2024-10-31T19:46:47Z,2024-11-01T02:26:19Z,2024-10-31T19:46:49Z,98,COHS0MZY,5105,English,Independent,68,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,pre
2284,event-maze,55,Monthly,NA,VA,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,55-64,6723c9f0388f8c56e8ff7619,APPROVED,Not Applicable,2024-10-31T18:18:29Z,2024-10-31T18:22:50Z,2024-11-01T02:29:35Z,2024-10-31T18:22:51Z,261,COHS0MZY,405,"Bengali, English",Republican,54,Male,Asian,Bangladesh,United States,United States,English,Yes,Full-Time,pre
1943,cloze-event,25,NA,NA,PA,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,25-34,6723c52c47530caee8315feb,APPROVED,Not Applicable,2024-10-31T17:58:07Z,2024-10-31T17:59:47Z,2024-11-01T02:26:40Z,2024-10-31T18:01:07Z,101,COHS0MZY,277,English,Independent,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,pre
1876,cloze-event,60,NA,NA,FL,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,55-64,6723c41a21137adda5899e9c,APPROVED,Not Applicable,2024-10-31T17:53:43Z,2024-10-31T17:58:45Z,2024-11-01T02:20:11Z,2024-10-31T18:00:54Z,303,COHS0MZY,3502,English,Republican,60,Male,Black,United States,United States,United States,English,Yes,Full-Time,pre
2690,spr-event,69,Daily,NA,NC,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,≥65,6723d2570dbc946a27a9d485,APPROVED,Not Applicable,2024-10-31T18:54:24Z,2024-10-31T18:56:45Z,2024-11-01T02:19:48Z,2024-10-31T18:56:46Z,142,COHS0MZY,521,English,Democrat,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
2024,cloze-event,42,NA,NA,MN,Female,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,35-44,6723c619ba40a889332c0a64,APPROVED,Not Applicable,2024-10-31T18:02:09Z,2024-10-31T18:03:40Z,2024-11-01T02:27:57Z,2024-10-31T18:03:44Z,92,COHS0MZY,228,English,Republican,42,Female,White,United States,United States,United States,English,No,Full-Time,pre
2706,event-cloze,59,Daily,NA,TX,NA,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,55-64,6723d2c9e1ab0db010ea9eec,APPROVED,Not Applicable,2024-10-31T18:56:18Z,2024-10-31T18:57:35Z,2024-11-01T02:31:27Z,2024-10-31T18:57:36Z,77,COHS0MZY,24,English,Democrat,59,Male,White,United States,United States,United States,English,No,Full-Time,pre
2416,event-cloze,58,Daily,NA,NM,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Republican,55-64,6723cc054464d5875ac48970,APPROVED,Not Applicable,2024-10-31T18:27:22Z,2024-10-31T18:29:08Z,2024-11-01T02:17:46Z,2024-10-31T18:29:52Z,107,COHS0MZY,9343,English,Republican,58,Female,Mixed,United States,United States,United States,English,No,Full-Time,pre
2348,maze-event,33,Daily,NA,CA,Female,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,25-34,6723cae7f4fa14b7090188b7,APPROVED,Not Applicable,2024-10-31T18:22:37Z,2024-10-31T18:26:31Z,2024-11-01T02:27:16Z,2024-10-31T18:26:48Z,235,COHS0MZY,406,English,Independent,33,Female,Mixed,United States,United States,United States,English,No,Full-Time,pre
2644,cloze-event,63,Daily,NA,MS,Non-binary,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,55-64,6723d0b6ba40a889332c0d03,APPROVED,Not Applicable,2024-10-31T18:47:25Z,2024-10-31T18:49:06Z,2024-11-01T02:30:47Z,2024-10-31T18:51:29Z,101,COHS0MZY,640,English,Independent,63,Female,White,United States,United States,United States,English,No,Part-Time,pre
1899,maze-event,32,NA,NA,FL,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,25-34,6723c47b5db91f852290787b,APPROVED,Not Applicable,2024-10-31T17:55:12Z,2024-10-31T17:58:19Z,2024-11-01T02:26:38Z,2024-10-31T18:00:55Z,187,COHS0MZY,1513,English,Independent,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,pre
2968,event-cloze,58,Daily,NA,CA,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,55-64,67240a2554479d79cb47e0ab,APPROVED,Not Applicable,2024-10-31T22:52:28Z,2024-10-31T22:54:43Z,2024-11-01T02:30:25Z,2024-10-31T22:56:16Z,136,COHS0MZY,659,"English, Spanish",Republican,58,Male,Black,United States,United States,United States,English,No,Full-Time,pre
2601,maze-event,34,Daily,NA,NJ,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Independent,25-34,6723cf781e2d1fba6557ef5f,APPROVED,Not Applicable,2024-10-31T18:42:04Z,2024-10-31T18:50:08Z,2024-11-01T02:20:34Z,2024-10-31T18:51:47Z,484,COHS0MZY,1118,English,Independent,34,Female,White,United States,United States,United States,English,No,Full-Time,pre
2411,event-maze,77,Daily,NA,NC,Male,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,≥65,6723cbfdcf071e6a8820ecdf,APPROVED,Not Applicable,2024-10-31T18:27:17Z,2024-10-31T18:31:10Z,2024-11-01T02:26:04Z,2024-10-31T18:32:34Z,233,COHS0MZY,6934,English,Independent,77,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
