workerid,condition,age,news,intro,state,gender,prefer,citizen,english,education,residence,political_aff,age_bin,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,batch
2445,spr-event,25,Daily,NA,MO,Male,I don't care,Yes,Yes,4-year college degree,Yes,Independent,25-34,6723cc78b6006b4758ed0638,APPROVED,Not Applicable,2024-10-31T18:29:20Z,2024-10-31T18:31:39Z,2024-11-01T02:26:53Z,2024-10-31T18:32:39Z,140,COHS0MZY,1537,English,Independent,25,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED,pre
2100,cloze-event,38,NA,NA,MI,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,35-44,6723c71a1d6bb9c60bec4f23,APPROVED,Not Applicable,2024-10-31T18:06:25Z,2024-10-31T18:08:00Z,2024-11-01T02:23:51Z,2024-10-31T18:08:27Z,95,COHS0MZY,4587,English,Democrat,38,Female,White,United States,United States,United States,English,No,Other,pre
2012,event-spr,55,NA,NA,NV,Male,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,55-64,6723c5f64efae1ffba69729b,APPROVED,Not Applicable,2024-10-31T18:01:33Z,2024-10-31T18:05:17Z,2024-11-01T02:31:16Z,2024-10-31T18:07:42Z,224,COHS0MZY,5523,English,Democrat,55,Male,White,United States,United States,United States,English,No,Full-Time,pre
2945,event-maze,74,Daily,NA,MO,Male,Donald Trump,Yes,Yes,Some college,Yes,Republican,≥65,6723f2e49407ecbac7a9579e,APPROVED,Not Applicable,2024-10-31T21:13:16Z,2024-10-31T21:19:12Z,2024-11-01T02:30:22Z,2024-10-31T21:19:45Z,356,COHS0MZY,276,English,Republican,74,Male,White,United States,United States,United States,English,No,Full-Time,pre
1856,cloze-event,29,NA,NA,CA,Male,Kamala Harris,Yes,No,4-year college degree,Yes,Democrat,25-34,6723c3c8059c30274b3608f5,APPROVED,Not Applicable,2024-10-31T17:52:14Z,2024-10-31T17:55:13Z,2024-11-01T02:29:25Z,2024-10-31T17:58:01Z,179,COHS0MZY,115,"English, Korean",Democrat,29,Male,Asian,Korea,United States,United States,Korean,No,Full-Time,pre
2764,cloze-event,24,Weekly,NA,FL,Female,Donald Trump,Yes,Yes,Some college,Yes,Republican,18-24,6723d57fed7d6e3b1cc748f2,APPROVED,Not Applicable,2024-10-31T19:07:50Z,2024-10-31T19:10:12Z,2024-11-01T02:28:20Z,2024-10-31T19:10:28Z,143,COHS0MZY,288,English,Republican,24,Female,Black,United States,United States,United States,English,Yes,Part-Time,pre
2573,maze-event,69,Daily,NA,WI,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,≥65,6723ce6f1d4f94f303161520,APPROVED,Not Applicable,2024-10-31T18:37:42Z,2024-10-31T18:41:30Z,2024-11-01T02:19:44Z,2024-10-31T18:41:32Z,229,COHS0MZY,1677,English,Democrat,69,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
1767,event-spr,35,NA,NA,VA,Other,Kamala Harris,Yes,No,4-year college degree,Yes,Independent,35-44,6723c1fbfd9a0c996c7c1d3c,APPROVED,Not Applicable,2024-10-31T17:44:37Z,2024-10-31T17:48:58Z,2024-11-01T02:21:35Z,2024-10-31T17:49:03Z,262,COHS0MZY,4159,English,Independent,35,Female,Asian,China,United States,United States,DATA_EXPIRED,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
2915,event-cloze,59,Daily,NA,TX,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,55-64,6723e5356b2b13c90d3fbd54,APPROVED,Not Applicable,2024-10-31T20:14:59Z,2024-10-31T20:17:33Z,2024-11-01T02:18:43Z,2024-10-31T20:18:43Z,154,COHS0MZY,14,English,Republican,57,Female,White,United States,United States,United States,English,No,Full-Time,pre
2254,event-spr,69,NA,NA,NM,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,≥65,6723c97b448f489f07587a30,APPROVED,Not Applicable,2024-10-31T18:16:40Z,2024-10-31T18:20:06Z,2024-11-01T02:30:08Z,2024-10-31T18:21:41Z,207,COHS0MZY,1157,English,Republican,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
2375,event-cloze,36,Daily,NA,DE,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Independent,35-44,6723ca2db6006b4758ed057c,APPROVED,Not Applicable,2024-10-31T18:24:09Z,2024-10-31T18:26:31Z,2024-11-01T02:21:22Z,2024-10-31T18:26:49Z,143,COHS0MZY,2197,"English, Spanish",Independent,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time,pre
2324,event-maze,57,Daily,NA,FL,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,55-64,6723ca74a48d8415e162811d,APPROVED,Not Applicable,2024-10-31T18:20:45Z,2024-10-31T18:22:54Z,2024-11-01T02:19:24Z,2024-10-31T18:22:55Z,129,COHS0MZY,449,English,Democrat,57,Female,White,United States,United States,United States,English,No,Part-Time,pre
1964,maze-event,51,NA,NA,OH,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,45-54,6723c562c16ffebdae577e0c,APPROVED,Not Applicable,2024-10-31T17:59:12Z,2024-10-31T18:02:24Z,2024-11-01T02:29:46Z,2024-10-31T18:02:27Z,193,COHS0MZY,1353,English,Republican,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time,pre
1476,spr-event,31,NA,NA,CA,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,25-34,6723b679f837f6937a6ff64c,APPROVED,Not Applicable,2024-10-31T16:55:25Z,2024-10-31T16:57:40Z,2024-11-01T02:29:15Z,2024-10-31T16:57:43Z,136,COHS0MZY,3983,English,Democrat,31,Male,Asian,United States,United States,United States,English,No,Full-Time,pre
2026,event-spr,40,NA,NA,PA,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,35-44,6723c61bc6adc9dd3b6017e1,APPROVED,Not Applicable,2024-10-31T18:02:10Z,2024-10-31T18:04:38Z,2024-11-01T02:23:49Z,2024-10-31T18:04:38Z,148,COHS0MZY,186,English,Democrat,40,Female,White,United States,United States,United States,English,Yes,Part-Time,pre
2894,cloze-event,59,NA,NA,OH,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,55-64,6723e1c44e53203e67a6dc71,APPROVED,Not Applicable,2024-10-31T20:00:09Z,2024-10-31T20:06:48Z,2024-11-01T02:30:17Z,2024-10-31T20:07:36Z,399,COHS0MZY,7604,English,Republican,59,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),pre
2726,spr-event,69,Daily,NA,NY,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,≥65,6723d39f085558a2d8c748bc,APPROVED,Not Applicable,2024-10-31T18:59:43Z,2024-10-31T19:02:45Z,2024-11-01T02:31:29Z,2024-10-31T19:03:45Z,182,COHS0MZY,6330,English,Democrat,69,Male,White,United States,United States,United States,English,No,Full-Time,pre
1613,spr-event,33,NA,NA,CA,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,25-34,6723be008954e2d03a1613f4,APPROVED,Not Applicable,2024-10-31T17:28:50Z,2024-10-31T17:32:25Z,2024-11-01T02:29:17Z,2024-10-31T17:34:39Z,216,COHS0MZY,3884,English,Democrat,33,Male,Asian,United States,United States,United States,English,No,Full-Time,pre
2625,cloze-event,76,Daily,NA,MI,Male,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,≥65,6723cf9f62534ab5fed31956,APPROVED,Not Applicable,2024-10-31T18:44:08Z,2024-10-31T18:46:11Z,2024-11-01T02:31:25Z,2024-10-31T18:47:22Z,124,COHS0MZY,410,English,Democrat,76,Male,White,United States,United States,United States,English,No,Part-Time,pre
2112,cloze-event,41,NA,NA,TX,Male,Kamala Harris,Yes,Yes,Some college,Yes,Independent,35-44,6723c74a05a481ac0db1c559,APPROVED,Not Applicable,2024-10-31T18:07:14Z,2024-10-31T18:09:22Z,2024-11-01T02:21:10Z,2024-10-31T18:10:42Z,128,COHS0MZY,794,English,Independent,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
2462,event-spr,63,Daily,NA,IN,Female,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,55-64,6723ccbcdf8d8a1c27cd1946,APPROVED,Not Applicable,2024-10-31T18:30:27Z,2024-10-31T18:33:22Z,2024-11-01T02:30:42Z,2024-10-31T18:33:23Z,175,COHS0MZY,6301,English,Independent,63,Female,White,United States,United States,United States,English,No,Part-Time,pre
2052,spr-event,37,NA,NA,GA,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Independent,35-44,6723c68cd21e7b80c4e2f49b,APPROVED,Not Applicable,2024-10-31T18:04:00Z,2024-10-31T18:05:57Z,2024-11-01T02:21:45Z,2024-10-31T18:07:56Z,118,COHS0MZY,1036,English,Independent,37,Female,White,United States,United States,United States,English,No,Part-Time,pre
2359,event-maze,72,Daily,NA,KY,Male,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,≥65,6723cb0e74650d772101896a,APPROVED,Not Applicable,2024-10-31T18:23:27Z,2024-10-31T18:28:47Z,2024-11-01T02:30:09Z,2024-10-31T18:29:35Z,320,COHS0MZY,3211,English,Republican,72,Male,White,United States,United States,United States,English,No,Full-Time,pre
1545,spr-event,61,NA,NA,WY,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,55-64,6723bbeda42b44197e23ced6,APPROVED,Not Applicable,2024-10-31T17:18:48Z,2024-10-31T17:22:26Z,2024-11-01T02:17:22Z,2024-10-31T17:22:27Z,218,COHS0MZY,625,English,Republican,61,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),pre
2853,event-spr,18,Daily,NA,RI,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,18-24,6723dd9e7144ba014c1754de,APPROVED,Not Applicable,2024-10-31T19:42:28Z,2024-10-31T19:45:15Z,2024-11-01T02:28:51Z,2024-10-31T19:46:35Z,167,COHS0MZY,225,English,Independent,18,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),pre
2948,event-spr,82,Daily,NA,CA,Male,Donald Trump,Yes,Yes,Some college,Yes,Independent,≥65,6723f3e64db2c5af37ff71bf,APPROVED,Not Applicable,2024-10-31T21:17:42Z,2024-10-31T21:21:29Z,2024-11-01T02:30:23Z,2024-10-31T21:22:11Z,227,COHS0MZY,612,English,Republican,82,Male,White,United States,United States,United States,English,No,Part-Time,pre
1516,cloze-event,31,NA,NA,GA,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,25-34,6723b9d2dbbc11a0aabc5825,APPROVED,Not Applicable,2024-10-31T17:09:43Z,2024-10-31T17:11:22Z,2024-11-01T02:30:02Z,2024-10-31T17:15:33Z,99,COHS0MZY,7374,English,Democrat,31,Female,Black,United States,United States,United States,English,No,Full-Time,pre
2285,spr-event,43,Daily,NA,MO,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,35-44,6723c9f69fdaae3f5714a127,APPROVED,Not Applicable,2024-10-31T18:18:38Z,2024-10-31T18:20:09Z,2024-11-01T02:27:50Z,2024-10-31T18:21:41Z,91,COHS0MZY,7723,English,Republican,43,Male,White,United States,United States,United States,English,No,Full-Time,pre
1397,event-cloze,28,NA,NA,MA,Male,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,25-34,6723ae2f4db9a735a4c9af7e,APPROVED,Not Applicable,2024-10-31T16:20:03Z,2024-10-31T16:21:47Z,2024-11-01T02:29:13Z,2024-10-31T16:21:48Z,105,COHS0MZY,522,English,Democrat,29,Male,Black,United States,United States,United States,English,No,Full-Time,pre
2643,maze-event,67,Daily,NA,FL,Male,Donald Trump,Yes,Yes,Some college,Yes,Independent,≥65,6723d0b0fcc45933e363dd1c,APPROVED,Not Applicable,2024-10-31T18:47:22Z,2024-10-31T18:52:20Z,2024-11-01T02:26:05Z,2024-10-31T18:52:26Z,299,COHS0MZY,81,English,Independent,67,Male,White,United States,United States,United States,English,No,Other,pre
1671,event-spr,37,NA,NA,MN,Female,Kamala Harris,Yes,Yes,2-year college degree,Yes,Democrat,35-44,6723bfd3126cd4e90a73748a,APPROVED,Not Applicable,2024-10-31T17:35:20Z,2024-10-31T17:37:07Z,2024-11-01T02:23:36Z,2024-10-31T17:37:36Z,107,COHS0MZY,797,English,Democrat,37,Female,White,United States,United States,United States,English,No,Part-Time,pre
2064,spr-event,52,NA,NA,TX,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,45-54,6723c6ad8c9030f4e97870f9,APPROVED,Not Applicable,2024-10-31T18:04:35Z,2024-10-31T18:07:16Z,2024-11-01T02:24:00Z,2024-10-31T18:08:18Z,162,COHS0MZY,4857,"English, Spanish",Democrat,52,Male,White,Mexico,United States,United States,English,No,Full-Time,pre
2820,cloze-event,67,Daily,NA,OK,Male,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,≥65,6723da0ddf3b0295ee787035,APPROVED,Not Applicable,2024-10-31T19:27:16Z,2024-10-31T19:31:12Z,2024-11-01T02:26:15Z,2024-10-31T19:32:41Z,236,COHS0MZY,493,English,Independent,67,Male,White,United States,United States,United States,English,No,Other,pre
2570,cloze-event,60,Daily,NA,IN,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,55-64,6723ce7447530caee8316282,APPROVED,Not Applicable,2024-10-31T18:37:50Z,2024-10-31T18:41:18Z,2024-11-01T02:30:09Z,2024-10-31T18:41:24Z,209,COHS0MZY,224,English,Republican,60,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
2394,cloze-event,46,Weekly,NA,MI,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,45-54,6723cbaf92726876d8c09480,APPROVED,Not Applicable,2024-10-31T18:25:56Z,2024-10-31T18:27:49Z,2024-11-01T02:28:25Z,2024-10-31T18:28:29Z,113,COHS0MZY,18,English,Independent,46,Female,White,United States,United States,United States,English,No,Full-Time,pre
2529,maze-event,62,Daily,NA,NY,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,55-64,6723cda961ca0d735f334d10,APPROVED,Not Applicable,2024-10-31T18:34:26Z,2024-10-31T18:39:11Z,2024-11-01T02:17:55Z,2024-10-31T18:40:48Z,285,COHS0MZY,98,English,Republican,62,Female,White,United States,United States,United States,English,No,Full-Time,pre
1921,event-maze,67,NA,NA,FL,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,≥65,6723c4ec74fcdfdcb4e7eb14,APPROVED,Not Applicable,2024-10-31T17:57:07Z,2024-10-31T17:59:53Z,2024-11-01T02:17:27Z,2024-10-31T18:01:08Z,167,COHS0MZY,8806,English,Republican,67,Female,White,United States,United States,United States,English,No,Full-Time,pre
2223,cloze-event,55,NA,NA,NH,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,55-64,6723c8abb76ae61cedc8bfd1,APPROVED,Not Applicable,2024-10-31T18:14:39Z,2024-10-31T18:19:24Z,2024-11-01T02:30:07Z,2024-10-31T18:21:33Z,285,COHS0MZY,2192,English,Republican,55,Male,White,United States,United States,United States,English,No,Full-Time,pre
2736,event-cloze,24,Daily,NA,IL,Non-binary,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,18-24,6723d41007961c5054c00eef,APPROVED,Not Applicable,2024-10-31T19:01:41Z,2024-10-31T19:03:06Z,2024-11-01T02:24:54Z,2024-10-31T19:04:03Z,86,COHS0MZY,2005,"English, Spanish",Democrat,24,Male,Other,United States,United States,United States,English,Yes,Full-Time,pre
2806,cloze-event,73,Daily,NA,WA,Female,I'd rather not say,Yes,Yes,4-year college degree,Yes,Independent,≥65,6723d8e5a276c89ed0ff30eb,APPROVED,Not Applicable,2024-10-31T19:22:19Z,2024-10-31T19:24:58Z,2024-11-01T02:30:54Z,2024-10-31T19:24:59Z,159,COHS0MZY,3041,English,Independent,73,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",pre
1797,spr-event,32,NA,NA,OH,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,25-34,6723c285e5f9993f6cf9bdac,APPROVED,Not Applicable,2024-10-31T17:46:50Z,2024-10-31T17:48:41Z,2024-11-01T02:23:06Z,2024-10-31T17:48:50Z,112,COHS0MZY,700,English,Democrat,32,Female,White,United States,United States,United States,English,No,Part-Time,pre
2067,spr-event,25,NA,NA,VA,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,25-34,6723c6ad830432e50bb9f85e,APPROVED,Not Applicable,2024-10-31T18:04:39Z,2024-10-31T18:08:19Z,2024-11-01T02:25:08Z,2024-10-31T20:24:50Z,220,COHS0MZY,601,English,Republican,25,Male,Mixed,DATA_EXPIRED,United States,United States,English,No,Full-Time,pre
2782,cloze-event,20,Daily,NA,IL,Male,Donald Trump,Yes,Yes,High school graduate,Yes,Independent,18-24,6723d6c16d458db27c36d68f,APPROVED,Not Applicable,2024-10-31T19:13:36Z,2024-10-31T19:15:02Z,2024-11-01T02:28:46Z,2024-10-31T19:15:14Z,87,COHS0MZY,2091,English,Independent,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,pre
1460,spr-event,29,NA,NA,DC,Female,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,25-34,6723b5143952d0acea58276b,APPROVED,Not Applicable,2024-10-31T16:49:31Z,2024-10-31T16:51:18Z,2024-11-01T02:30:01Z,2024-10-31T16:51:19Z,107,COHS0MZY,693,English,Democrat,29,Female,Asian,United States,United States,United States,English,Yes,Other,pre
1617,cloze-event,59,NA,NA,WV,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,55-64,6723be74806554cc3c6282f6,APPROVED,Not Applicable,2024-10-31T17:29:31Z,2024-10-31T17:30:50Z,2024-11-01T02:31:08Z,2024-10-31T17:31:04Z,80,COHS0MZY,7020,English,Democrat,60,Male,White,United States,United States,United States,English,No,Part-Time,pre
2327,maze-event,45,Daily,NA,IN,Male,I'd rather not say,Yes,Yes,2-year college degree,Yes,Independent,45-54,6723ca795ebad7277ff02e5e,APPROVED,Not Applicable,2024-10-31T18:20:48Z,2024-10-31T18:24:36Z,2024-11-01T02:22:36Z,2024-10-31T18:24:37Z,229,COHS0MZY,472,English,Independent,45,Male,White,United States,United States,United States,English,No,Part-Time,pre
1574,cloze-event,43,NA,NA,TN,Male,Kamala Harris,Yes,Yes,Some college,Yes,Independent,35-44,6723bd37190f1b5731a4aa94,APPROVED,Not Applicable,2024-10-31T17:24:14Z,2024-10-31T17:26:04Z,2024-11-01T02:23:18Z,2024-10-31T17:26:21Z,111,COHS0MZY,227,English,Democrat,43,Male,White,United States,United States,United States,English,Yes,Full-Time,pre
1834,maze-event,38,NA,NA,NY,Female,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,35-44,6723c346f34c7a07951aaae9,APPROVED,Not Applicable,2024-10-31T17:50:04Z,2024-10-31T17:52:13Z,2024-11-01T02:23:43Z,2024-10-31T17:52:14Z,129,COHS0MZY,5979,English,Democrat,38,Female,White,United States,United States,United States,English,No,Full-Time,pre
1769,spr-event,64,NA,NA,AZ,Male,Donald Trump,Yes,Yes,Doctorate,Yes,Republican,55-64,6723c207aa50df1612e81b7f,APPROVED,Not Applicable,2024-10-31T17:44:46Z,2024-10-31T17:47:10Z,2024-11-01T02:20:10Z,2024-10-31T17:48:30Z,144,COHS0MZY,5414,English,Republican,64,Male,White,United States,United States,United States,English,No,Full-Time,pre
