workerid,condition,age,news,intro,state,gender,prefer,citizen,english,education,residence,political_aff,prolific_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2681,event-maze,22,Daily,NA,FL,Female,Donald Trump,Yes,Yes,Some college,Yes,Republican,66fc5487fa43172f24f886cc,6723d2059b7a6948cef9c545,APPROVED,Not Applicable,2024-10-31T18:52:58Z,2024-10-31T18:55:23Z,2024-11-01T02:28:18Z,2024-10-31T18:55:26Z,146,COHS0MZY,133,English,Republican,22,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
1598,maze-event,32,NA,NA,KY,Female,Kamala Harris,Yes,Yes,Some college,Yes,Independent,65379809ee65f619af716542,6723bc969ac48b81af706591,APPROVED,Not Applicable,2024-10-31T17:21:36Z,2024-10-31T17:30:54Z,2024-11-01T02:26:57Z,2024-10-31T17:31:10Z,559,COHS0MZY,1810,English,Independent,32,Female,White,United States,United States,United States,English,No,Full-Time
1799,cloze-event,52,NA,NA,IA,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,5a78b8355292b800012284ca,6723c251a657ab9e1b920e3e,APPROVED,Not Applicable,2024-10-31T17:45:59Z,2024-10-31T17:48:52Z,2024-11-01T02:24:22Z,2024-10-31T17:48:54Z,174,COHS0MZY,5331,English,Democrat,52,Female,White,United States,United States,United States,English,No,Full-Time
1692,cloze-event,54,NA,NA,OR,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Independent,6636068eb9c91f0168b22b69,6723c0455eb829d85d3c91ea,APPROVED,Not Applicable,2024-10-31T17:37:15Z,2024-10-31T17:38:53Z,2024-11-01T02:22:16Z,2024-10-31T17:38:56Z,99,COHS0MZY,724,"English, Spanish",Independent,54,Male,White,United States,United States,United States,English,Yes,Full-Time
2523,spr-event,56,Daily,NA,FL,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,63ea50989eb7642c2cfbce84,6723cd948e91426d48befbff,APPROVED,Not Applicable,2024-10-31T18:34:02Z,2024-10-31T18:35:35Z,2024-11-01T02:19:38Z,2024-10-31T18:35:36Z,94,COHS0MZY,374,English,Democrat,56,Female,White,United States,United States,United States,English,No,Full-Time
2859,event-cloze,68,Daily,NA,FL,Male,I'd rather not say,Yes,Yes,Some college,Yes,Independent,5d0e7ce13fe2d0001999c056,6723de40634f4e8548334bec,APPROVED,Not Applicable,2024-10-31T19:45:10Z,2024-10-31T19:46:47Z,2024-11-01T02:26:19Z,2024-10-31T19:46:49Z,98,COHS0MZY,5105,English,Independent,68,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2284,event-maze,55,Monthly,NA,VA,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,66971362d0e54c6a97f6146e,6723c9f0388f8c56e8ff7619,APPROVED,Not Applicable,2024-10-31T18:18:29Z,2024-10-31T18:22:50Z,2024-11-01T02:29:35Z,2024-10-31T18:22:51Z,261,COHS0MZY,405,"Bengali, English",Republican,54,Male,Asian,Bangladesh,United States,United States,English,Yes,Full-Time
1943,cloze-event,25,NA,NA,PA,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,66f1dc27b04f13110f25da48,6723c52c47530caee8315feb,APPROVED,Not Applicable,2024-10-31T17:58:07Z,2024-10-31T17:59:47Z,2024-11-01T02:26:40Z,2024-10-31T18:01:07Z,101,COHS0MZY,277,English,Independent,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
1876,cloze-event,60,NA,NA,FL,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,64395cbe6c8374ff09533b05,6723c41a21137adda5899e9c,APPROVED,Not Applicable,2024-10-31T17:53:43Z,2024-10-31T17:58:45Z,2024-11-01T02:20:11Z,2024-10-31T18:00:54Z,303,COHS0MZY,3502,English,Republican,60,Male,Black,United States,United States,United States,English,Yes,Full-Time
2690,spr-event,69,Daily,NA,NC,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,6672df26391cf82fa68a2ea7,6723d2570dbc946a27a9d485,APPROVED,Not Applicable,2024-10-31T18:54:24Z,2024-10-31T18:56:45Z,2024-11-01T02:19:48Z,2024-10-31T18:56:46Z,142,COHS0MZY,521,English,Democrat,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
