workerid,condition,age,news,intro,state,gender,prefer,citizen,english,education,residence,political_aff,prolific_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2024,cloze-event,42,NA,NA,MN,Female,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,66914b48f24ea359ee278ca5,6723c619ba40a889332c0a64,APPROVED,Not Applicable,2024-10-31T18:02:09Z,2024-10-31T18:03:40Z,2024-11-01T02:27:57Z,2024-10-31T18:03:44Z,92,COHS0MZY,228,English,Republican,42,Female,White,United States,United States,United States,English,No,Full-Time
2706,event-cloze,59,Daily,NA,TX,NA,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,67210d051e2ef6b81aad9729,6723d2c9e1ab0db010ea9eec,APPROVED,Not Applicable,2024-10-31T18:56:18Z,2024-10-31T18:57:35Z,2024-11-01T02:31:27Z,2024-10-31T18:57:36Z,77,COHS0MZY,24,English,Democrat,59,Male,White,United States,United States,United States,English,No,Full-Time
2416,event-cloze,58,Daily,NA,NM,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Republican,5fefefa4c9707d3516361c9c,6723cc054464d5875ac48970,APPROVED,Not Applicable,2024-10-31T18:27:22Z,2024-10-31T18:29:08Z,2024-11-01T02:17:46Z,2024-10-31T18:29:52Z,107,COHS0MZY,9343,English,Republican,58,Female,Mixed,United States,United States,United States,English,No,Full-Time
2348,maze-event,33,Daily,NA,CA,Female,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,66c7f280d6cde03f250ffded,6723cae7f4fa14b7090188b7,APPROVED,Not Applicable,2024-10-31T18:22:37Z,2024-10-31T18:26:31Z,2024-11-01T02:27:16Z,2024-10-31T18:26:48Z,235,COHS0MZY,406,English,Independent,33,Female,Mixed,United States,United States,United States,English,No,Full-Time
2644,cloze-event,63,Daily,NA,MS,Non-binary,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,664e2c02edf41c6338092b54,6723d0b6ba40a889332c0d03,APPROVED,Not Applicable,2024-10-31T18:47:25Z,2024-10-31T18:49:06Z,2024-11-01T02:30:47Z,2024-10-31T18:51:29Z,101,COHS0MZY,640,English,Independent,63,Female,White,United States,United States,United States,English,No,Part-Time
1899,maze-event,32,NA,NA,FL,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,65d7a5fea3345f5297e63e48,6723c47b5db91f852290787b,APPROVED,Not Applicable,2024-10-31T17:55:12Z,2024-10-31T17:58:19Z,2024-11-01T02:26:38Z,2024-10-31T18:00:55Z,187,COHS0MZY,1513,English,Independent,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
2968,event-cloze,58,Daily,NA,CA,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,640661c9594e0ae9a8891544,67240a2554479d79cb47e0ab,APPROVED,Not Applicable,2024-10-31T22:52:28Z,2024-10-31T22:54:43Z,2024-11-01T02:30:25Z,2024-10-31T22:56:16Z,136,COHS0MZY,659,"English, Spanish",Republican,58,Male,Black,United States,United States,United States,English,No,Full-Time
2601,maze-event,34,Daily,NA,NJ,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Independent,6625ac4d6f5a636552f8adf0,6723cf781e2d1fba6557ef5f,APPROVED,Not Applicable,2024-10-31T18:42:04Z,2024-10-31T18:50:08Z,2024-11-01T02:20:34Z,2024-10-31T18:51:47Z,484,COHS0MZY,1118,English,Independent,34,Female,White,United States,United States,United States,English,No,Full-Time
2411,event-maze,77,Daily,NA,NC,Male,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,5ea47bda5b1a9807ed89eb76,6723cbfdcf071e6a8820ecdf,APPROVED,Not Applicable,2024-10-31T18:27:17Z,2024-10-31T18:31:10Z,2024-11-01T02:26:04Z,2024-10-31T18:32:34Z,233,COHS0MZY,6934,English,Independent,77,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2445,spr-event,25,Daily,NA,MO,Male,I don't care,Yes,Yes,4-year college degree,Yes,Independent,6431fa7dd113eda38603cabc,6723cc78b6006b4758ed0638,APPROVED,Not Applicable,2024-10-31T18:29:20Z,2024-10-31T18:31:39Z,2024-11-01T02:26:53Z,2024-10-31T18:32:39Z,140,COHS0MZY,1537,English,Independent,25,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
2100,cloze-event,38,NA,NA,MI,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,629642bfde2bf56c1ec2a420,6723c71a1d6bb9c60bec4f23,APPROVED,Not Applicable,2024-10-31T18:06:25Z,2024-10-31T18:08:00Z,2024-11-01T02:23:51Z,2024-10-31T18:08:27Z,95,COHS0MZY,4587,English,Democrat,38,Female,White,United States,United States,United States,English,No,Other
2012,event-spr,55,NA,NA,NV,Male,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,5dcf6d762e4a050ac2cba07d,6723c5f64efae1ffba69729b,APPROVED,Not Applicable,2024-10-31T18:01:33Z,2024-10-31T18:05:17Z,2024-11-01T02:31:16Z,2024-10-31T18:07:42Z,224,COHS0MZY,5523,English,Democrat,55,Male,White,United States,United States,United States,English,No,Full-Time
2945,event-maze,74,Daily,NA,MO,Male,Donald Trump,Yes,Yes,Some college,Yes,Republican,666d8614c073db24a747bdc7,6723f2e49407ecbac7a9579e,APPROVED,Not Applicable,2024-10-31T21:13:16Z,2024-10-31T21:19:12Z,2024-11-01T02:30:22Z,2024-10-31T21:19:45Z,356,COHS0MZY,276,English,Republican,74,Male,White,United States,United States,United States,English,No,Full-Time
1856,cloze-event,29,NA,NA,CA,Male,Kamala Harris,Yes,No,4-year college degree,Yes,Democrat,5f6a5a31ef2e5a113a18c281,6723c3c8059c30274b3608f5,APPROVED,Not Applicable,2024-10-31T17:52:14Z,2024-10-31T17:55:13Z,2024-11-01T02:29:25Z,2024-10-31T17:58:01Z,179,COHS0MZY,115,"English, Korean",Democrat,29,Male,Asian,Korea,United States,United States,Korean,No,Full-Time
2764,cloze-event,24,Weekly,NA,FL,Female,Donald Trump,Yes,Yes,Some college,Yes,Republican,66c5219c0af73f6e79eea99e,6723d57fed7d6e3b1cc748f2,APPROVED,Not Applicable,2024-10-31T19:07:50Z,2024-10-31T19:10:12Z,2024-11-01T02:28:20Z,2024-10-31T19:10:28Z,143,COHS0MZY,288,English,Republican,24,Female,Black,United States,United States,United States,English,Yes,Part-Time
2573,maze-event,69,Daily,NA,WI,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,5f08ba4192c3fb10d8fb4bb6,6723ce6f1d4f94f303161520,APPROVED,Not Applicable,2024-10-31T18:37:42Z,2024-10-31T18:41:30Z,2024-11-01T02:19:44Z,2024-10-31T18:41:32Z,229,COHS0MZY,1677,English,Democrat,69,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1767,event-spr,35,NA,NA,VA,Other,Kamala Harris,Yes,No,4-year college degree,Yes,Independent,5ecf40ccb218ec372490e3ea,6723c1fbfd9a0c996c7c1d3c,APPROVED,Not Applicable,2024-10-31T17:44:37Z,2024-10-31T17:48:58Z,2024-11-01T02:21:35Z,2024-10-31T17:49:03Z,262,COHS0MZY,4159,English,Independent,35,Female,Asian,China,United States,United States,DATA_EXPIRED,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2915,event-cloze,59,Daily,NA,TX,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,671acd4b14ebfd595a8b6c09,6723e5356b2b13c90d3fbd54,APPROVED,Not Applicable,2024-10-31T20:14:59Z,2024-10-31T20:17:33Z,2024-11-01T02:18:43Z,2024-10-31T20:18:43Z,154,COHS0MZY,14,English,Republican,57,Female,White,United States,United States,United States,English,No,Full-Time
2254,event-spr,69,NA,NA,NM,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,660ab3521d6a9f36a3f0cb95,6723c97b448f489f07587a30,APPROVED,Not Applicable,2024-10-31T18:16:40Z,2024-10-31T18:20:06Z,2024-11-01T02:30:08Z,2024-10-31T18:21:41Z,207,COHS0MZY,1157,English,Republican,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2375,event-cloze,36,Daily,NA,DE,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Independent,5a726e526fc3c60001f976bb,6723ca2db6006b4758ed057c,APPROVED,Not Applicable,2024-10-31T18:24:09Z,2024-10-31T18:26:31Z,2024-11-01T02:21:22Z,2024-10-31T18:26:49Z,143,COHS0MZY,2197,"English, Spanish",Independent,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
2324,event-maze,57,Daily,NA,FL,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,6692b332b77c02cc9bb9720e,6723ca74a48d8415e162811d,APPROVED,Not Applicable,2024-10-31T18:20:45Z,2024-10-31T18:22:54Z,2024-11-01T02:19:24Z,2024-10-31T18:22:55Z,129,COHS0MZY,449,English,Democrat,57,Female,White,United States,United States,United States,English,No,Part-Time
1964,maze-event,51,NA,NA,OH,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,657b8d0f70532c79db2ebe95,6723c562c16ffebdae577e0c,APPROVED,Not Applicable,2024-10-31T17:59:12Z,2024-10-31T18:02:24Z,2024-11-01T02:29:46Z,2024-10-31T18:02:27Z,193,COHS0MZY,1353,English,Republican,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
1476,spr-event,31,NA,NA,CA,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,6301c3ad615e5e0f5f371624,6723b679f837f6937a6ff64c,APPROVED,Not Applicable,2024-10-31T16:55:25Z,2024-10-31T16:57:40Z,2024-11-01T02:29:15Z,2024-10-31T16:57:43Z,136,COHS0MZY,3983,English,Democrat,31,Male,Asian,United States,United States,United States,English,No,Full-Time
2026,event-spr,40,NA,NA,PA,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,66e9d4da018b61d910fb5c59,6723c61bc6adc9dd3b6017e1,APPROVED,Not Applicable,2024-10-31T18:02:10Z,2024-10-31T18:04:38Z,2024-11-01T02:23:49Z,2024-10-31T18:04:38Z,148,COHS0MZY,186,English,Democrat,40,Female,White,United States,United States,United States,English,Yes,Part-Time
2894,cloze-event,59,NA,NA,OH,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,610f326ceebada4236a67080,6723e1c44e53203e67a6dc71,APPROVED,Not Applicable,2024-10-31T20:00:09Z,2024-10-31T20:06:48Z,2024-11-01T02:30:17Z,2024-10-31T20:07:36Z,399,COHS0MZY,7604,English,Republican,59,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
2726,spr-event,69,Daily,NA,NY,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,5dfb693a73d72487b1fe495b,6723d39f085558a2d8c748bc,APPROVED,Not Applicable,2024-10-31T18:59:43Z,2024-10-31T19:02:45Z,2024-11-01T02:31:29Z,2024-10-31T19:03:45Z,182,COHS0MZY,6330,English,Democrat,69,Male,White,United States,United States,United States,English,No,Full-Time
1613,spr-event,33,NA,NA,CA,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,5820ab7820c34d0001e6dff2,6723be008954e2d03a1613f4,APPROVED,Not Applicable,2024-10-31T17:28:50Z,2024-10-31T17:32:25Z,2024-11-01T02:29:17Z,2024-10-31T17:34:39Z,216,COHS0MZY,3884,English,Democrat,33,Male,Asian,United States,United States,United States,English,No,Full-Time
2625,cloze-event,76,Daily,NA,MI,Male,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,66856a62a9cd8445323c30c6,6723cf9f62534ab5fed31956,APPROVED,Not Applicable,2024-10-31T18:44:08Z,2024-10-31T18:46:11Z,2024-11-01T02:31:25Z,2024-10-31T18:47:22Z,124,COHS0MZY,410,English,Democrat,76,Male,White,United States,United States,United States,English,No,Part-Time
2112,cloze-event,41,NA,NA,TX,Male,Kamala Harris,Yes,Yes,Some college,Yes,Independent,664439645a9a29be43d5bf5a,6723c74a05a481ac0db1c559,APPROVED,Not Applicable,2024-10-31T18:07:14Z,2024-10-31T18:09:22Z,2024-11-01T02:21:10Z,2024-10-31T18:10:42Z,128,COHS0MZY,794,English,Independent,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2462,event-spr,63,Daily,NA,IN,Female,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,56494d5b6902220012c4acb7,6723ccbcdf8d8a1c27cd1946,APPROVED,Not Applicable,2024-10-31T18:30:27Z,2024-10-31T18:33:22Z,2024-11-01T02:30:42Z,2024-10-31T18:33:23Z,175,COHS0MZY,6301,English,Independent,63,Female,White,United States,United States,United States,English,No,Part-Time
2052,spr-event,37,NA,NA,GA,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Independent,663bc254f4b7b1bf2cdd0a70,6723c68cd21e7b80c4e2f49b,APPROVED,Not Applicable,2024-10-31T18:04:00Z,2024-10-31T18:05:57Z,2024-11-01T02:21:45Z,2024-10-31T18:07:56Z,118,COHS0MZY,1036,English,Independent,37,Female,White,United States,United States,United States,English,No,Part-Time
2359,event-maze,72,Daily,NA,KY,Male,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,5fc43976862e3e7756f5d661,6723cb0e74650d772101896a,APPROVED,Not Applicable,2024-10-31T18:23:27Z,2024-10-31T18:28:47Z,2024-11-01T02:30:09Z,2024-10-31T18:29:35Z,320,COHS0MZY,3211,English,Republican,72,Male,White,United States,United States,United States,English,No,Full-Time
1545,spr-event,61,NA,NA,WY,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,6621daa87097db3620036531,6723bbeda42b44197e23ced6,APPROVED,Not Applicable,2024-10-31T17:18:48Z,2024-10-31T17:22:26Z,2024-11-01T02:17:22Z,2024-10-31T17:22:27Z,218,COHS0MZY,625,English,Republican,61,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
2853,event-spr,18,Daily,NA,RI,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,66eb44221b8f0aa9144a12b7,6723dd9e7144ba014c1754de,APPROVED,Not Applicable,2024-10-31T19:42:28Z,2024-10-31T19:45:15Z,2024-11-01T02:28:51Z,2024-10-31T19:46:35Z,167,COHS0MZY,225,English,Independent,18,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
2948,event-spr,82,Daily,NA,CA,Male,Donald Trump,Yes,Yes,Some college,Yes,Independent,666ef42db3c7870346bfd90d,6723f3e64db2c5af37ff71bf,APPROVED,Not Applicable,2024-10-31T21:17:42Z,2024-10-31T21:21:29Z,2024-11-01T02:30:23Z,2024-10-31T21:22:11Z,227,COHS0MZY,612,English,Republican,82,Male,White,United States,United States,United States,English,No,Part-Time
1516,cloze-event,31,NA,NA,GA,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,5e83adf76ea9870c99d4b086,6723b9d2dbbc11a0aabc5825,APPROVED,Not Applicable,2024-10-31T17:09:43Z,2024-10-31T17:11:22Z,2024-11-01T02:30:02Z,2024-10-31T17:15:33Z,99,COHS0MZY,7374,English,Democrat,31,Female,Black,United States,United States,United States,English,No,Full-Time
2285,spr-event,43,Daily,NA,MO,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,59ff47d47ecfc50001be0555,6723c9f69fdaae3f5714a127,APPROVED,Not Applicable,2024-10-31T18:18:38Z,2024-10-31T18:20:09Z,2024-11-01T02:27:50Z,2024-10-31T18:21:41Z,91,COHS0MZY,7723,English,Republican,43,Male,White,United States,United States,United States,English,No,Full-Time
1397,event-cloze,28,NA,NA,MA,Male,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,5b8557d0bb0eb8000105a696,6723ae2f4db9a735a4c9af7e,APPROVED,Not Applicable,2024-10-31T16:20:03Z,2024-10-31T16:21:47Z,2024-11-01T02:29:13Z,2024-10-31T16:21:48Z,105,COHS0MZY,522,English,Democrat,29,Male,Black,United States,United States,United States,English,No,Full-Time
2643,maze-event,67,Daily,NA,FL,Male,Donald Trump,Yes,Yes,Some college,Yes,Independent,66ec7a70f8d1f4d108a4ec65,6723d0b0fcc45933e363dd1c,APPROVED,Not Applicable,2024-10-31T18:47:22Z,2024-10-31T18:52:20Z,2024-11-01T02:26:05Z,2024-10-31T18:52:26Z,299,COHS0MZY,81,English,Independent,67,Male,White,United States,United States,United States,English,No,Other
1671,event-spr,37,NA,NA,MN,Female,Kamala Harris,Yes,Yes,2-year college degree,Yes,Democrat,663ae3f35b81791c40865be5,6723bfd3126cd4e90a73748a,APPROVED,Not Applicable,2024-10-31T17:35:20Z,2024-10-31T17:37:07Z,2024-11-01T02:23:36Z,2024-10-31T17:37:36Z,107,COHS0MZY,797,English,Democrat,37,Female,White,United States,United States,United States,English,No,Part-Time
2064,spr-event,52,NA,NA,TX,Male,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,63ba386fca1ef3cc33de26d2,6723c6ad8c9030f4e97870f9,APPROVED,Not Applicable,2024-10-31T18:04:35Z,2024-10-31T18:07:16Z,2024-11-01T02:24:00Z,2024-10-31T18:08:18Z,162,COHS0MZY,4857,"English, Spanish",Democrat,52,Male,White,Mexico,United States,United States,English,No,Full-Time
2820,cloze-event,67,Daily,NA,OK,Male,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,66abae3c6291661053356c69,6723da0ddf3b0295ee787035,APPROVED,Not Applicable,2024-10-31T19:27:16Z,2024-10-31T19:31:12Z,2024-11-01T02:26:15Z,2024-10-31T19:32:41Z,236,COHS0MZY,493,English,Independent,67,Male,White,United States,United States,United States,English,No,Other
2570,cloze-event,60,Daily,NA,IN,Male,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,66fd546b92a0197eb27c02aa,6723ce7447530caee8316282,APPROVED,Not Applicable,2024-10-31T18:37:50Z,2024-10-31T18:41:18Z,2024-11-01T02:30:09Z,2024-10-31T18:41:24Z,209,COHS0MZY,224,English,Republican,60,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2394,cloze-event,46,Weekly,NA,MI,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Independent,67000ed3ffa3938b2cc81087,6723cbaf92726876d8c09480,APPROVED,Not Applicable,2024-10-31T18:25:56Z,2024-10-31T18:27:49Z,2024-11-01T02:28:25Z,2024-10-31T18:28:29Z,113,COHS0MZY,18,English,Independent,46,Female,White,United States,United States,United States,English,No,Full-Time
2529,maze-event,62,Daily,NA,NY,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,6713ea373b96a80e5553a7b2,6723cda961ca0d735f334d10,APPROVED,Not Applicable,2024-10-31T18:34:26Z,2024-10-31T18:39:11Z,2024-11-01T02:17:55Z,2024-10-31T18:40:48Z,285,COHS0MZY,98,English,Republican,62,Female,White,United States,United States,United States,English,No,Full-Time
1921,event-maze,67,NA,NA,FL,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,5cf3f7364bcc6400019d71fa,6723c4ec74fcdfdcb4e7eb14,APPROVED,Not Applicable,2024-10-31T17:57:07Z,2024-10-31T17:59:53Z,2024-11-01T02:17:27Z,2024-10-31T18:01:08Z,167,COHS0MZY,8806,English,Republican,67,Female,White,United States,United States,United States,English,No,Full-Time
2223,cloze-event,55,NA,NA,NH,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,65c0ed76e2e195876cfd9b74,6723c8abb76ae61cedc8bfd1,APPROVED,Not Applicable,2024-10-31T18:14:39Z,2024-10-31T18:19:24Z,2024-11-01T02:30:07Z,2024-10-31T18:21:33Z,285,COHS0MZY,2192,English,Republican,55,Male,White,United States,United States,United States,English,No,Full-Time
2736,event-cloze,24,Daily,NA,IL,Non-binary,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,5e28f70500bb310cf3934256,6723d41007961c5054c00eef,APPROVED,Not Applicable,2024-10-31T19:01:41Z,2024-10-31T19:03:06Z,2024-11-01T02:24:54Z,2024-10-31T19:04:03Z,86,COHS0MZY,2005,"English, Spanish",Democrat,24,Male,Other,United States,United States,United States,English,Yes,Full-Time
2806,cloze-event,73,Daily,NA,WA,Female,I'd rather not say,Yes,Yes,4-year college degree,Yes,Independent,5e2d295390840b3279624b90,6723d8e5a276c89ed0ff30eb,APPROVED,Not Applicable,2024-10-31T19:22:19Z,2024-10-31T19:24:58Z,2024-11-01T02:30:54Z,2024-10-31T19:24:59Z,159,COHS0MZY,3041,English,Independent,73,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1797,spr-event,32,NA,NA,OH,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,667b577210c53a5b35f2d73e,6723c285e5f9993f6cf9bdac,APPROVED,Not Applicable,2024-10-31T17:46:50Z,2024-10-31T17:48:41Z,2024-11-01T02:23:06Z,2024-10-31T17:48:50Z,112,COHS0MZY,700,English,Democrat,32,Female,White,United States,United States,United States,English,No,Part-Time
2067,spr-event,25,NA,NA,VA,Male,Donald Trump,Yes,Yes,4-year college degree,Yes,Republican,669177c4a26127b08bc038ee,6723c6ad830432e50bb9f85e,APPROVED,Not Applicable,2024-10-31T18:04:39Z,2024-10-31T18:08:19Z,2024-11-01T02:25:08Z,2024-10-31T20:24:50Z,220,COHS0MZY,601,English,Republican,25,Male,Mixed,DATA_EXPIRED,United States,United States,English,No,Full-Time
2782,cloze-event,20,Daily,NA,IL,Male,Donald Trump,Yes,Yes,High school graduate,Yes,Independent,6496f9fbc2928ee6956ef623,6723d6c16d458db27c36d68f,APPROVED,Not Applicable,2024-10-31T19:13:36Z,2024-10-31T19:15:02Z,2024-11-01T02:28:46Z,2024-10-31T19:15:14Z,87,COHS0MZY,2091,English,Independent,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1460,spr-event,29,NA,NA,DC,Female,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,655f90bfe10fa8065ab6c09a,6723b5143952d0acea58276b,APPROVED,Not Applicable,2024-10-31T16:49:31Z,2024-10-31T16:51:18Z,2024-11-01T02:30:01Z,2024-10-31T16:51:19Z,107,COHS0MZY,693,English,Democrat,29,Female,Asian,United States,United States,United States,English,Yes,Other
1617,cloze-event,59,NA,NA,WV,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,5c3b70640eaa0100018ea877,6723be74806554cc3c6282f6,APPROVED,Not Applicable,2024-10-31T17:29:31Z,2024-10-31T17:30:50Z,2024-11-01T02:31:08Z,2024-10-31T17:31:04Z,80,COHS0MZY,7020,English,Democrat,60,Male,White,United States,United States,United States,English,No,Part-Time
2327,maze-event,45,Daily,NA,IN,Male,I'd rather not say,Yes,Yes,2-year college degree,Yes,Independent,66889eb9573ca69b3ff84d9d,6723ca795ebad7277ff02e5e,APPROVED,Not Applicable,2024-10-31T18:20:48Z,2024-10-31T18:24:36Z,2024-11-01T02:22:36Z,2024-10-31T18:24:37Z,229,COHS0MZY,472,English,Independent,45,Male,White,United States,United States,United States,English,No,Part-Time
