workerid,condition,response,candidate,probability
2064,spr-event,49,trump,0.48514851485148514
2064,spr-event,49,harris,0.48514851485148514
2064,spr-event,3,other,0.0297029702970297
2820,cloze-event,62,harris,0.6078431372549019
2820,cloze-event,40,trump,0.39215686274509803
2820,cloze-event,0,other,0
2570,cloze-event,75,trump,0.7352941176470589
2570,cloze-event,27,harris,0.2647058823529412
2570,cloze-event,0,other,0
2394,cloze-event,66,harris,0.5641025641025641
2394,cloze-event,51,trump,0.4358974358974359
2394,cloze-event,0,other,0
2529,maze-event,25,harris,0.18796992481203006
2529,maze-event,100,trump,0.7518796992481203
2529,maze-event,8,other,0.06015037593984962
1921,event-maze,0,harris,0
1921,event-maze,100,trump,1
1921,event-maze,0,other,0
2223,cloze-event,47,harris,0.46534653465346537
2223,cloze-event,54,trump,0.5346534653465347
2223,cloze-event,0,other,0
2736,event-cloze,24,trump,0.24489795918367346
2736,event-cloze,74,harris,0.7551020408163265
2736,event-cloze,0,other,0
2806,cloze-event,48,harris,0.48484848484848486
2806,cloze-event,51,trump,0.5151515151515151
2806,cloze-event,0,other,0
1797,spr-event,0,trump,0
1797,spr-event,76,harris,1
1797,spr-event,0,other,0
2067,spr-event,61,trump,0.6039603960396039
2067,spr-event,40,harris,0.39603960396039606
2067,spr-event,0,other,0
2782,cloze-event,66,harris,0.3728813559322034
2782,cloze-event,78,trump,0.4406779661016949
2782,cloze-event,33,other,0.1864406779661017
1460,spr-event,52,trump,0.5098039215686274
1460,spr-event,49,harris,0.4803921568627451
1460,spr-event,1,other,0.00980392156862745
1617,cloze-event,87,harris,0.8207547169811321
1617,cloze-event,19,trump,0.1792452830188679
1617,cloze-event,0,other,0
2327,maze-event,45,trump,0.45918367346938777
2327,maze-event,53,harris,0.5408163265306123
2327,maze-event,0,other,0
1574,cloze-event,46,harris,0.4791666666666667
1574,cloze-event,50,trump,0.5208333333333334
1574,cloze-event,0,other,0
1834,maze-event,84,harris,0.9333333333333333
1834,maze-event,6,trump,0.06666666666666667
1834,maze-event,0,other,0
1769,spr-event,14,harris,0.1414141414141414
1769,spr-event,85,trump,0.8585858585858586
1769,spr-event,0,other,0
1811,event-spr,51,trump,0.504950495049505
1811,event-spr,48,harris,0.4752475247524752
1811,event-spr,2,other,0.019801980198019802
2097,event-cloze,56,trump,0.5544554455445545
2097,event-cloze,45,harris,0.44554455445544555
2097,event-cloze,0,other,0
1708,spr-event,51,trump,0.504950495049505
1708,spr-event,50,harris,0.49504950495049505
1708,spr-event,0,other,0
2839,spr-event,50,harris,0.4854368932038835
2839,spr-event,50,trump,0.4854368932038835
2839,spr-event,3,other,0.02912621359223301
1503,spr-event,49,harris,0.494949494949495
1503,spr-event,50,trump,0.5050505050505051
1503,spr-event,0,other,0
1764,cloze-event,93,harris,0.9117647058823529
1764,cloze-event,9,trump,0.08823529411764706
1764,cloze-event,0,other,0
2742,spr-event,62,harris,0.6262626262626263
2742,spr-event,37,trump,0.37373737373737376
2742,spr-event,0,other,0
1531,maze-event,5,harris,0.050505050505050504
1531,maze-event,94,trump,0.9494949494949495
1531,maze-event,0,other,0
1873,event-spr,50,trump,0.49504950495049505
1873,event-spr,49,harris,0.48514851485148514
1873,event-spr,2,other,0.019801980198019802
2887,spr-event,90,trump,0.8737864077669902
2887,spr-event,6,harris,0.05825242718446602
2887,spr-event,7,other,0.06796116504854369
2339,event-cloze,4,trump,0.0392156862745098
2339,event-cloze,98,harris,0.9607843137254902
2339,event-cloze,0,other,0
2440,maze-event,16,harris,0.21621621621621623
2440,maze-event,58,trump,0.7837837837837838
2440,maze-event,0,other,0
1519,spr-event,49,trump,0.5157894736842106
1519,spr-event,46,harris,0.4842105263157895
1519,spr-event,0,other,0
2746,cloze-event,100,trump,1
2746,cloze-event,0,harris,0
2746,cloze-event,0,other,0
2408,event-spr,27,trump,0.35064935064935066
2408,event-spr,50,harris,0.6493506493506493
2408,event-spr,0,other,0
2452,event-spr,48,harris,0.4948453608247423
2452,event-spr,49,trump,0.5051546391752577
2452,event-spr,0,other,0
2035,cloze-event,46,trump,0.4380952380952381
2035,cloze-event,55,harris,0.5238095238095238
2035,cloze-event,4,other,0.0380952380952381
2536,cloze-event,48,trump,0.4897959183673469
2536,cloze-event,50,harris,0.5102040816326531
2536,cloze-event,0,other,0
2099,spr-event,43,harris,0.43
2099,spr-event,57,trump,0.57
2099,spr-event,0,other,0
2436,event-spr,76,trump,0.5984251968503937
2436,event-spr,39,harris,0.30708661417322836
