workerid,condition,response,candidate,probability
2835,event-cloze,2,other,0.014388489208633094
2174,spr-event,45,harris,0.45454545454545453
2174,spr-event,54,trump,0.5454545454545454
2174,spr-event,0,other,0
2461,event-spr,93,trump,0.9489795918367347
2461,event-spr,5,harris,0.05102040816326531
2461,event-spr,0,other,0
2125,cloze-event,59,trump,0.48360655737704916
2125,cloze-event,63,harris,0.5163934426229508
2125,cloze-event,0,other,0
2310,event-maze,52,harris,0.5252525252525253
2310,event-maze,47,trump,0.47474747474747475
2310,event-maze,0,other,0
2079,maze-event,12,harris,0.13333333333333333
2079,maze-event,78,trump,0.8666666666666667
2079,maze-event,0,other,0
2599,event-cloze,96,harris,0.6956521739130435
2599,event-cloze,42,trump,0.30434782608695654
2599,event-cloze,0,other,0
2206,maze-event,51,harris,0.5204081632653061
2206,maze-event,47,trump,0.47959183673469385
2206,maze-event,0,other,0
1677,maze-event,100,harris,1
1677,maze-event,0,trump,0
1677,maze-event,0,other,0
2941,spr-event,100,trump,0.9345794392523364
2941,spr-event,3,harris,0.028037383177570093
2941,spr-event,4,other,0.037383177570093455
1885,spr-event,54,trump,0.4462809917355372
1885,spr-event,67,harris,0.5537190082644629
1885,spr-event,0,other,0
2163,cloze-event,44,trump,0.4631578947368421
2163,cloze-event,51,harris,0.5368421052631579
2163,cloze-event,0,other,0
1732,spr-event,63,trump,0.63
1732,spr-event,37,harris,0.37
1732,spr-event,0,other,0
2252,cloze-event,0,harris,0
2252,cloze-event,100,trump,1
2252,cloze-event,0,other,0
2755,event-cloze,66,trump,0.6407766990291263
2755,event-cloze,37,harris,0.3592233009708738
2755,event-cloze,0,other,0
2317,spr-event,77,trump,0.5167785234899329
2317,spr-event,24,harris,0.1610738255033557
2317,spr-event,48,other,0.3221476510067114
1890,event-cloze,26,trump,0.21138211382113822
1890,event-cloze,91,harris,0.7398373983739838
1890,event-cloze,6,other,0.04878048780487805
2239,cloze-event,67,harris,0.4962962962962963
2239,cloze-event,58,trump,0.42962962962962964
2239,cloze-event,10,other,0.07407407407407407
2043,cloze-event,43,trump,0.43434343434343436
2043,cloze-event,56,harris,0.5656565656565656
2043,cloze-event,0,other,0
2793,maze-event,100,trump,1
2793,maze-event,0,harris,0
2793,maze-event,0,other,0
1982,cloze-event,62,harris,0.62
1982,cloze-event,38,trump,0.38
1982,cloze-event,0,other,0
2938,spr-event,96,trump,0.9504950495049505
2938,spr-event,3,harris,0.0297029702970297
2938,spr-event,2,other,0.019801980198019802
2374,event-cloze,29,trump,0.25663716814159293
2374,event-cloze,71,harris,0.6283185840707964
2374,event-cloze,13,other,0.11504424778761062
2313,event-spr,100,trump,1
2313,event-spr,0,harris,0
2313,event-spr,0,other,0
2115,event-spr,88,trump,0.4861878453038674
2115,event-spr,54,harris,0.2983425414364641
2115,event-spr,39,other,0.2154696132596685
2228,event-spr,52,harris,0.5306122448979592
2228,event-spr,46,trump,0.46938775510204084
2228,event-spr,0,other,0
1535,event-maze,37,trump,0.4065934065934066
1535,event-maze,54,harris,0.5934065934065934
1535,event-maze,0,other,0
2809,spr-event,36,trump,0.2748091603053435
2809,spr-event,83,harris,0.6335877862595419
2809,spr-event,12,other,0.0916030534351145
2455,maze-event,90,trump,0.9090909090909091
2455,maze-event,9,harris,0.09090909090909091
2455,maze-event,0,other,0
1451,event-spr,84,trump,0.5283018867924528
1451,event-spr,64,harris,0.4025157232704403
1451,event-spr,11,other,0.06918238993710692
2088,event-spr,63,harris,0.6057692307692307
2088,event-spr,40,trump,0.38461538461538464
2088,event-spr,1,other,0.009615384615384616
2831,cloze-event,39,harris,0.38613861386138615
2831,cloze-event,62,trump,0.6138613861386139
2831,cloze-event,0,other,0
1560,cloze-event,50,harris,0.49504950495049505
1560,cloze-event,51,trump,0.504950495049505
1560,cloze-event,0,other,0
1639,event-spr,86,harris,0.8775510204081632
1639,event-spr,12,trump,0.12244897959183673
1639,event-spr,0,other,0
2340,event-cloze,43,trump,0.4387755102040816
2340,event-cloze,55,harris,0.5612244897959183
2340,event-cloze,0,other,0
2707,spr-event,100,trump,1
2707,spr-event,0,harris,0
2707,spr-event,0,other,0
2639,maze-event,100,trump,1
2639,maze-event,0,harris,0
2639,maze-event,0,other,0
1514,spr-event,24,harris,0.24489795918367346
1514,spr-event,74,trump,0.7551020408163265
1514,spr-event,0,other,0
2013,event-spr,82,trump,0.6307692307692307
2013,event-spr,48,harris,0.36923076923076925
2013,event-spr,0,other,0
2866,maze-event,49,trump,0.5
2866,maze-event,49,harris,0.5
2866,maze-event,0,other,0
2460,event-cloze,55,harris,0.4824561403508772
2460,event-cloze,59,trump,0.5175438596491229
2460,event-cloze,0,other,0
1771,event-cloze,51,harris,0.504950495049505
1771,event-cloze,50,trump,0.49504950495049505
1771,event-cloze,0,other,0
2775,spr-event,69,harris,0.5036496350364964
2775,spr-event,54,trump,0.39416058394160586
2775,spr-event,14,other,0.10218978102189781
1470,spr-event,100,trump,1
1470,spr-event,0,harris,0
1470,spr-event,0,other,0
2004,spr-event,0,trump,0
2004,spr-event,100,harris,1
2004,spr-event,0,other,0
2139,event-cloze,62,harris,0.6326530612244898
2139,event-cloze,36,trump,0.3673469387755102
2139,event-cloze,0,other,0
2896,spr-event,62,harris,0.6326530612244898
2896,spr-event,36,trump,0.3673469387755102
2896,spr-event,0,other,0
2350,maze-event,76,trump,0.7524752475247525
2350,maze-event,25,harris,0.24752475247524752
2350,maze-event,0,other,0
2544,maze-event,47,trump,0.47474747474747475
2544,maze-event,52,harris,0.5252525252525253
2544,maze-event,0,other,0
1561,event-cloze,49,trump,0.5
1561,event-cloze,49,harris,0.5
1561,event-cloze,0,other,0
2047,event-cloze,86,trump,0.86
2047,event-cloze,14,harris,0.14
2047,event-cloze,0,other,0
2667,cloze-event,51,harris,0.5204081632653061
2667,cloze-event,47,trump,0.47959183673469385
2667,cloze-event,0,other,0
1403,event-spr,49,trump,0.5
1403,event-spr,49,harris,0.5
1403,event-spr,0,other,0
2117,cloze-event,21,harris,0.14685314685314685
2117,cloze-event,85,trump,0.5944055944055944
2117,cloze-event,37,other,0.25874125874125875
2022,spr-event,36,trump,0.3564356435643564
2022,spr-event,65,harris,0.6435643564356436
2022,spr-event,0,other,0
2821,cloze-event,61,trump,0.5495495495495496
2821,cloze-event,50,harris,0.45045045045045046
2821,cloze-event,0,other,0
1505,maze-event,100,harris,1
1505,maze-event,0,trump,0
1505,maze-event,0,other,0
2160,event-maze,49,trump,0.5
2160,event-maze,49,harris,0.5
2160,event-maze,0,other,0
2607,spr-event,40,trump,0.29411764705882354
2607,spr-event,90,harris,0.6617647058823529
2607,spr-event,6,other,0.04411764705882353
2712,event-maze,41,trump,0.41414141414141414
2712,event-maze,58,harris,0.5858585858585859
2712,event-maze,0,other,0
1781,event-cloze,28,trump,0.26666666666666666
1781,event-cloze,77,harris,0.7333333333333333
1781,event-cloze,0,other,0
2377,event-maze,48,harris,0.48484848484848486
2377,event-maze,51,trump,0.5151515151515151
2377,event-maze,0,other,0
2236,spr-event,9,harris,0.09090909090909091
2236,spr-event,90,trump,0.9090909090909091
2236,spr-event,0,other,0
2011,cloze-event,24,harris,0.24242424242424243
2011,cloze-event,75,trump,0.7575757575757576
2011,cloze-event,0,other,0
2304,spr-event,38,trump,0.37254901960784315
2304,spr-event,64,harris,0.6274509803921569
2304,spr-event,0,other,0
1524,spr-event,52,trump,0.52
1524,spr-event,48,harris,0.48
1524,spr-event,0,other,0
2741,cloze-event,53,harris,0.53
2741,cloze-event,47,trump,0.47
2741,cloze-event,0,other,0
2082,cloze-event,47,harris,0.4845360824742268
2082,cloze-event,50,trump,0.5154639175257731
2082,cloze-event,0,other,0
1576,event-spr,49,harris,0.5
1576,event-spr,49,trump,0.5
1576,event-spr,0,other,0
1956,maze-event,50,harris,0.5
1956,maze-event,50,trump,0.5
1956,maze-event,0,other,0
1872,cloze-event,60,trump,0.594059405940594
1872,cloze-event,41,harris,0.40594059405940597
1872,cloze-event,0,other,0
2579,cloze-event,60,trump,0.5042016806722689
2579,cloze-event,59,harris,0.4957983193277311
2579,cloze-event,0,other,0
2315,spr-event,44,trump,0.42718446601941745
2315,spr-event,59,harris,0.5728155339805825
2315,spr-event,0,other,0
2525,maze-event,53,trump,0.5408163265306123
2525,maze-event,45,harris,0.45918367346938777
2525,maze-event,0,other,0
2923,event-maze,45,harris,0.4205607476635514
2923,event-maze,60,trump,0.5607476635514018
2923,event-maze,2,other,0.018691588785046728
2057,cloze-event,52,trump,0.5360824742268041
2057,cloze-event,45,harris,0.4639175257731959
2057,cloze-event,0,other,0
2296,cloze-event,100,trump,0.5714285714285714
2296,cloze-event,49,harris,0.28
2296,cloze-event,26,other,0.14857142857142858
2345,event-cloze,37,trump,0.36633663366336633
2345,event-cloze,64,harris,0.6336633663366337
2345,event-cloze,0,other,0
1637,maze-event,86,trump,0.7889908256880734
1637,maze-event,23,harris,0.21100917431192662
1637,maze-event,0,other,0
2410,spr-event,5,harris,0.043859649122807015
2410,spr-event,61,trump,0.5350877192982456
2410,spr-event,48,other,0.42105263157894735
2185,spr-event,48,trump,0.32432432432432434
2185,spr-event,100,harris,0.6756756756756757
2185,spr-event,0,other,0
2032,cloze-event,61,trump,0.5865384615384616
2032,cloze-event,43,harris,0.41346153846153844
2032,cloze-event,0,other,0
1959,cloze-event,51,harris,0.49514563106796117
1959,cloze-event,52,trump,0.5048543689320388
1959,cloze-event,0,other,0
2038,cloze-event,75,trump,0.5681818181818182
2038,cloze-event,48,harris,0.36363636363636365
2038,cloze-event,9,other,0.06818181818181818
1735,spr-event,49,harris,0.48514851485148514
1735,spr-event,49,trump,0.48514851485148514
1735,spr-event,3,other,0.0297029702970297
1688,event-maze,49,harris,0.48514851485148514
1688,event-maze,52,trump,0.5148514851485149
1688,event-maze,0,other,0
1414,cloze-event,100,trump,1
1414,cloze-event,0,harris,0
1414,cloze-event,0,other,0
1926,event-maze,50,harris,0.5102040816326531
1926,event-maze,48,trump,0.4897959183673469
1926,event-maze,0,other,0
2469,event-spr,7,trump,0.0673076923076923
2469,event-spr,97,harris,0.9326923076923077
2469,event-spr,0,other,0
1450,spr-event,89,harris,0.8640776699029126
1450,spr-event,14,trump,0.13592233009708737
1450,spr-event,0,other,0
1701,spr-event,23,trump,0.18699186991869918
1701,spr-event,100,harris,0.8130081300813008
1701,spr-event,0,other,0
2693,event-spr,55,harris,0.5670103092783505
2693,event-spr,42,trump,0.4329896907216495
2693,event-spr,0,other,0
1796,event-maze,92,harris,0.9108910891089109
1796,event-maze,9,trump,0.0891089108910891
1796,event-maze,0,other,0
1513,event-maze,100,harris,0.9803921568627451
1513,event-maze,1,trump,0.00980392156862745
1513,event-maze,1,other,0.00980392156862745
2714,spr-event,49,trump,0.5
2714,spr-event,49,harris,0.5
2714,spr-event,0,other,0
2740,spr-event,69,harris,0.6764705882352942
2740,spr-event,33,trump,0.3235294117647059
2740,spr-event,0,other,0
1922,spr-event,24,harris,0.24242424242424243
1922,spr-event,75,trump,0.7575757575757576
1922,spr-event,0,other,0
1754,cloze-event,75,harris,0.7575757575757576
1754,cloze-event,24,trump,0.24242424242424243
1754,cloze-event,0,other,0
2700,cloze-event,40,trump,0.4166666666666667
2700,cloze-event,56,harris,0.5833333333333334
2700,cloze-event,0,other,0
2356,event-spr,74,trump,0.7551020408163265
2356,event-spr,24,harris,0.24489795918367346
2356,event-spr,0,other,0
2272,cloze-event,61,trump,0.5980392156862745
2272,cloze-event,41,harris,0.4019607843137255
2272,cloze-event,0,other,0
1578,cloze-event,25,trump,0.24752475247524752
1578,cloze-event,76,harris,0.7524752475247525
1578,cloze-event,0,other,0
1726,cloze-event,1,trump,0.00980392156862745
1726,cloze-event,100,harris,0.9803921568627451
1726,cloze-event,1,other,0.00980392156862745
2611,event-maze,12,trump,0.10344827586206896
2611,event-maze,100,harris,0.8620689655172413
2611,event-maze,4,other,0.034482758620689655
2456,cloze-event,49,trump,0.5
2456,cloze-event,48,harris,0.4897959183673469
2456,cloze-event,1,other,0.01020408163265306
2008,maze-event,89,harris,0.7235772357723578
2008,maze-event,32,trump,0.2601626016260163
2008,maze-event,2,other,0.016260162601626018
1664,spr-event,57,harris,0.57
1664,spr-event,43,trump,0.43
1664,spr-event,0,other,0
1469,event-spr,46,trump,0.46464646464646464
1469,event-spr,53,harris,0.5353535353535354
1469,event-spr,0,other,0
1554,spr-event,47,harris,0.47959183673469385
1554,spr-event,51,trump,0.5204081632653061
1554,spr-event,0,other,0
2281,cloze-event,94,trump,0.9215686274509803
2281,cloze-event,8,harris,0.0784313725490196
2281,cloze-event,0,other,0
1508,spr-event,34,trump,0.2905982905982906
1508,spr-event,77,harris,0.6581196581196581
1508,spr-event,6,other,0.05128205128205128
2466,event-spr,46,harris,0.4742268041237113
2466,event-spr,51,trump,0.5257731958762887
2466,event-spr,0,other,0
2780,cloze-event,92,harris,0.9387755102040817
2780,cloze-event,6,trump,0.061224489795918366
2780,cloze-event,0,other,0
2878,cloze-event,68,trump,0.4722222222222222
2878,cloze-event,73,harris,0.5069444444444444
2878,cloze-event,3,other,0.020833333333333332
2664,spr-event,42,trump,0.42857142857142855
2664,spr-event,56,harris,0.5714285714285714
2664,spr-event,0,other,0
2649,cloze-event,76,harris,0.8260869565217391
2649,cloze-event,15,trump,0.16304347826086957
2649,cloze-event,1,other,0.010869565217391304
1904,cloze-event,21,harris,0.21
1904,cloze-event,79,trump,0.79
1904,cloze-event,0,other,0
1792,spr-event,91,harris,0.9285714285714286
1792,spr-event,7,trump,0.07142857142857142
1792,spr-event,0,other,0
2852,event-maze,50,harris,0.5050505050505051
2852,event-maze,49,trump,0.494949494949495
2852,event-maze,0,other,0
1908,event-maze,56,trump,0.5490196078431373
1908,event-maze,45,harris,0.4411764705882353
1908,event-maze,1,other,0.00980392156862745
2891,event-spr,75,harris,0.7575757575757576
2891,event-spr,24,trump,0.24242424242424243
2891,event-spr,0,other,0
2511,event-spr,54,harris,0.5346534653465347
2511,event-spr,46,trump,0.45544554455445546
2511,event-spr,1,other,0.009900990099009901
2120,spr-event,99,harris,0.532258064516129
2120,spr-event,87,trump,0.46774193548387094
2120,spr-event,0,other,0
2257,spr-event,40,harris,0.31007751937984496
2257,spr-event,89,trump,0.689922480620155
2257,spr-event,0,other,0
2699,spr-event,42,trump,0.45161290322580644
2699,spr-event,48,harris,0.5161290322580645
2699,spr-event,3,other,0.03225806451612903
1563,cloze-event,0,trump,0
1563,cloze-event,92,harris,0.9387755102040817
1563,cloze-event,6,other,0.061224489795918366
2631,maze-event,50,harris,0.4672897196261682
2631,maze-event,57,trump,0.5327102803738317
2631,maze-event,0,other,0
2430,spr-event,88,trump,0.7586206896551724
2430,spr-event,21,harris,0.1810344827586207
2430,spr-event,7,other,0.0603448275862069
1699,cloze-event,96,harris,0.9504950495049505
1699,cloze-event,5,trump,0.04950495049504951
1699,cloze-event,0,other,0
2832,spr-event,48,harris,0.46601941747572817
2832,spr-event,54,trump,0.5242718446601942
2832,spr-event,1,other,0.009708737864077669
2253,maze-event,48,trump,0.4948453608247423
2253,maze-event,49,harris,0.5051546391752577
2253,maze-event,0,other,0
2519,cloze-event,12,harris,0.11538461538461539
2519,cloze-event,92,trump,0.8846153846153846
2519,cloze-event,0,other,0
1971,cloze-event,75,trump,0.75
1971,cloze-event,25,harris,0.25
1971,cloze-event,0,other,0
2248,spr-event,41,harris,0.41836734693877553
2248,spr-event,57,trump,0.5816326530612245
2248,spr-event,0,other,0
2192,cloze-event,49,trump,0.5051546391752577
2192,cloze-event,48,harris,0.4948453608247423
2192,cloze-event,0,other,0
1950,cloze-event,54,harris,0.5454545454545454
1950,cloze-event,45,trump,0.45454545454545453
1950,cloze-event,0,other,0
1911,spr-event,61,harris,0.61
1911,spr-event,39,trump,0.39
1911,spr-event,0,other,0
2397,event-cloze,76,harris,0.7676767676767676
2397,event-cloze,23,trump,0.23232323232323232
2397,event-cloze,0,other,0
2932,cloze-event,51,harris,0.49514563106796117
2932,cloze-event,52,trump,0.5048543689320388
2932,cloze-event,0,other,0
1492,event-maze,49,trump,0.5
1492,event-maze,49,harris,0.5
1492,event-maze,0,other,0
1768,event-cloze,100,harris,1
1768,event-cloze,0,trump,0
1768,event-cloze,0,other,0
2628,event-spr,46,trump,0.46464646464646464
2628,event-spr,52,harris,0.5252525252525253
2628,event-spr,1,other,0.010101010101010102
1401,event-maze,49,harris,0.494949494949495
1401,event-maze,50,trump,0.5050505050505051
1401,event-maze,0,other,0
1931,cloze-event,94,trump,0.7899159663865546
1931,cloze-event,25,harris,0.21008403361344538
1931,cloze-event,0,other,0
2014,event-cloze,89,harris,0.839622641509434
2014,event-cloze,16,trump,0.1509433962264151
2014,event-cloze,1,other,0.009433962264150943
2021,cloze-event,53,harris,0.5353535353535354
2021,cloze-event,46,trump,0.46464646464646464
2021,cloze-event,0,other,0
2912,spr-event,11,trump,0.10185185185185185
2912,spr-event,89,harris,0.8240740740740741
2912,spr-event,8,other,0.07407407407407407
1575,spr-event,33,trump,0.3235294117647059
1575,spr-event,69,harris,0.6764705882352942
1575,spr-event,0,other,0
2384,event-spr,27,harris,0.2571428571428571
2384,event-spr,76,trump,0.7238095238095238
2384,event-spr,2,other,0.01904761904761905
1675,maze-event,43,trump,0.3944954128440367
1675,maze-event,49,harris,0.44954128440366975
1675,maze-event,17,other,0.1559633027522936
2954,spr-event,47,harris,0.47
2954,spr-event,53,trump,0.53
2954,spr-event,0,other,0
2337,spr-event,10,harris,0.09900990099009901
2337,spr-event,91,trump,0.900990099009901
2337,spr-event,0,other,0
2432,event-cloze,47,harris,0.373015873015873
2432,event-cloze,76,trump,0.6031746031746031
2432,event-cloze,3,other,0.023809523809523808
2576,spr-event,43,harris,0.43434343434343436
2576,spr-event,56,trump,0.5656565656565656
2576,spr-event,0,other,0
2025,cloze-event,100,trump,0.8333333333333334
2025,cloze-event,20,harris,0.16666666666666666
2025,cloze-event,0,other,0
2800,maze-event,52,harris,0.5360824742268041
2800,maze-event,45,trump,0.4639175257731959
2800,maze-event,0,other,0
2605,cloze-event,37,trump,0.37
2605,cloze-event,63,harris,0.63
2605,cloze-event,0,other,0
2733,cloze-event,0,harris,0
2733,cloze-event,100,trump,1
2733,cloze-event,0,other,0
2739,cloze-event,74,trump,0.7474747474747475
2739,cloze-event,25,harris,0.25252525252525254
2739,cloze-event,0,other,0
1629,event-spr,61,harris,0.6421052631578947
1629,event-spr,34,trump,0.35789473684210527
1629,event-spr,0,other,0
1556,maze-event,54,trump,0.48214285714285715
1556,maze-event,48,harris,0.42857142857142855
1556,maze-event,10,other,0.08928571428571429
2361,spr-event,7,harris,0.0707070707070707
2361,spr-event,92,trump,0.9292929292929293
2361,spr-event,0,other,0
2933,cloze-event,48,harris,0.48484848484848486
2933,cloze-event,51,trump,0.5151515151515151
2933,cloze-event,0,other,0
2874,cloze-event,50,trump,0.5050505050505051
2874,cloze-event,49,harris,0.494949494949495
2874,cloze-event,0,other,0
2704,cloze-event,30,trump,0.28846153846153844
2704,cloze-event,74,harris,0.7115384615384616
2704,cloze-event,0,other,0
2558,spr-event,5,harris,0.049019607843137254
2558,spr-event,82,trump,0.803921568627451
2558,spr-event,15,other,0.14705882352941177
2085,event-cloze,3,trump,0.029411764705882353
2085,event-cloze,99,harris,0.9705882352941176
2085,event-cloze,0,other,0
1681,event-spr,50,harris,0.4032258064516129
1681,event-spr,49,trump,0.3951612903225806
1681,event-spr,25,other,0.20161290322580644
2319,maze-event,58,trump,0.5742574257425742
2319,maze-event,43,harris,0.42574257425742573
2319,maze-event,0,other,0
2427,maze-event,55,harris,0.5851063829787234
2427,maze-event,39,trump,0.4148936170212766
2427,maze-event,0,other,0
1644,cloze-event,100,harris,1
1644,cloze-event,0,trump,0
1644,cloze-event,0,other,0
1481,event-cloze,100,trump,0.8
1481,event-cloze,25,harris,0.2
1481,event-cloze,0,other,0
2209,spr-event,75,trump,0.7575757575757576
2209,spr-event,24,harris,0.24242424242424243
2209,spr-event,0,other,0
2564,event-cloze,46,trump,0.44660194174757284
2564,event-cloze,57,harris,0.5533980582524272
2564,event-cloze,0,other,0
1600,cloze-event,11,trump,0.11
1600,cloze-event,89,harris,0.89
1600,cloze-event,0,other,0
2065,cloze-event,51,harris,0.49514563106796117
2065,cloze-event,52,trump,0.5048543689320388
2065,cloze-event,0,other,0
2300,spr-event,51,trump,0.504950495049505
2300,spr-event,50,harris,0.49504950495049505
2300,spr-event,0,other,0
1408,cloze-event,100,harris,0.9345794392523364
1408,cloze-event,5,trump,0.04672897196261682
1408,cloze-event,2,other,0.018691588785046728
2028,cloze-event,22,trump,0.23157894736842105
2028,cloze-event,73,harris,0.7684210526315789
2028,cloze-event,0,other,0
1881,event-spr,50,harris,0.5050505050505051
1881,event-spr,49,trump,0.494949494949495
1881,event-spr,0,other,0
2905,event-maze,42,trump,0.42
2905,event-maze,58,harris,0.58
2905,event-maze,0,other,0
1915,event-spr,39,trump,0.38235294117647056
1915,event-spr,63,harris,0.6176470588235294
1915,event-spr,0,other,0
2501,cloze-event,86,trump,0.6187050359712231
2501,cloze-event,49,harris,0.35251798561151076
2501,cloze-event,4,other,0.02877697841726619
2382,maze-event,23,harris,0.23469387755102042
2382,maze-event,74,trump,0.7551020408163265
2382,maze-event,1,other,0.01020408163265306
2539,event-maze,100,trump,0.9433962264150944
2539,event-maze,3,harris,0.02830188679245283
2539,event-maze,3,other,0.02830188679245283
2799,cloze-event,50,trump,0.5
2799,cloze-event,50,harris,0.5
2799,cloze-event,0,other,0
2760,cloze-event,65,trump,0.5462184873949579
2760,cloze-event,54,harris,0.453781512605042
2760,cloze-event,0,other,0
1583,cloze-event,81,harris,0.7788461538461539
1583,cloze-event,23,trump,0.22115384615384615
1583,cloze-event,0,other,0
1972,spr-event,37,trump,0.3592233009708738
1972,spr-event,65,harris,0.6310679611650486
1972,spr-event,1,other,0.009708737864077669
2271,maze-event,75,trump,0.5172413793103449
2271,maze-event,54,harris,0.3724137931034483
2271,maze-event,16,other,0.1103448275862069
2730,event-spr,43,trump,0.43
2730,event-spr,57,harris,0.57
2730,event-spr,0,other,0
1977,event-spr,52,harris,0.5306122448979592
1977,event-spr,46,trump,0.46938775510204084
1977,event-spr,0,other,0
2911,event-spr,74,harris,0.7708333333333334
2911,event-spr,22,trump,0.22916666666666666
2911,event-spr,0,other,0
2784,cloze-event,23,trump,0.23469387755102042
2784,cloze-event,75,harris,0.7653061224489796
2784,cloze-event,0,other,0
1846,spr-event,99,trump,1
1846,spr-event,0,harris,0
1846,spr-event,0,other,0
1770,cloze-event,55,harris,0.5045871559633027
1770,cloze-event,46,trump,0.42201834862385323
1770,cloze-event,8,other,0.07339449541284404
1606,maze-event,58,harris,0.5918367346938775
1606,maze-event,40,trump,0.40816326530612246
1606,maze-event,0,other,0
1653,spr-event,0,harris,0
1653,spr-event,100,trump,1
1653,spr-event,0,other,0
1475,event-cloze,51,harris,0.5
1475,event-cloze,51,trump,0.5
1475,event-cloze,0,other,0
2686,event-spr,100,trump,1
2686,event-spr,0,harris,0
2686,event-spr,0,other,0
1947,event-maze,50,trump,0.5
1947,event-maze,50,harris,0.5
1947,event-maze,0,other,0
2718,maze-event,58,harris,0.6041666666666666
2718,maze-event,38,trump,0.3958333333333333
2718,maze-event,0,other,0
1682,event-cloze,43,trump,0.42574257425742573
1682,event-cloze,58,harris,0.5742574257425742
1682,event-cloze,0,other,0
2944,event-cloze,50,trump,0.5050505050505051
2944,event-cloze,49,harris,0.494949494949495
2944,event-cloze,0,other,0
1543,spr-event,21,trump,0.26582278481012656
1543,spr-event,58,harris,0.7341772151898734
1543,spr-event,0,other,0
1778,event-spr,55,harris,0.45081967213114754
1778,event-spr,65,trump,0.5327868852459017
1778,event-spr,2,other,0.01639344262295082
2666,spr-event,100,trump,1
2666,spr-event,0,harris,0
2666,spr-event,0,other,0
2187,cloze-event,75,harris,0.7575757575757576
2187,cloze-event,24,trump,0.24242424242424243
2187,cloze-event,0,other,0
1753,event-cloze,0,trump,0
1753,event-cloze,100,harris,1
1753,event-cloze,0,other,0
2590,event-cloze,78,harris,0.5306122448979592
2590,event-cloze,20,trump,0.1360544217687075
2590,event-cloze,49,other,0.3333333333333333
2279,cloze-event,35,trump,0.35714285714285715
2279,cloze-event,63,harris,0.6428571428571429
2279,cloze-event,0,other,0
2946,event-spr,45,trump,0.391304347826087
2946,event-spr,70,harris,0.6086956521739131
2946,event-spr,0,other,0
1529,event-spr,57,harris,0.5816326530612245
1529,event-spr,41,trump,0.41836734693877553
1529,event-spr,0,other,0
2485,cloze-event,49,trump,0.5
2485,cloze-event,49,harris,0.5
2485,cloze-event,0,other,0
2804,event-spr,56,harris,0.5714285714285714
2804,event-spr,42,trump,0.42857142857142855
2804,event-spr,0,other,0
2215,event-cloze,36,trump,0.3673469387755102
2215,event-cloze,62,harris,0.6326530612244898
2215,event-cloze,0,other,0
1581,maze-event,50,harris,0.5050505050505051
1581,maze-event,49,trump,0.494949494949495
1581,maze-event,0,other,0
2510,event-cloze,59,harris,0.5566037735849056
2510,event-cloze,45,trump,0.42452830188679247
2510,event-cloze,2,other,0.018867924528301886
1436,cloze-event,25,trump,0.25252525252525254
1436,cloze-event,74,harris,0.7474747474747475
1436,cloze-event,0,other,0
2512,maze-event,66,harris,0.6666666666666666
2512,maze-event,33,trump,0.3333333333333333
2512,maze-event,0,other,0
2092,cloze-event,100,harris,1
2092,cloze-event,0,trump,0
2092,cloze-event,0,other,0
1447,spr-event,11,trump,0.10576923076923077
1447,spr-event,93,harris,0.8942307692307693
1447,spr-event,0,other,0
1805,cloze-event,43,harris,0.42574257425742573
1805,cloze-event,58,trump,0.5742574257425742
1805,cloze-event,0,other,0
2133,cloze-event,37,harris,0.36633663366336633
2133,cloze-event,64,trump,0.6336633663366337
2133,cloze-event,0,other,0
2702,spr-event,100,harris,1
2702,spr-event,0,trump,0
2702,spr-event,0,other,0
1955,cloze-event,55,harris,0.5555555555555556
1955,cloze-event,44,trump,0.4444444444444444
1955,cloze-event,0,other,0
1676,cloze-event,91,harris,0.9381443298969072
1676,cloze-event,6,trump,0.061855670103092786
1676,cloze-event,0,other,0
1638,maze-event,45,harris,0.4326923076923077
1638,maze-event,59,trump,0.5673076923076923
1638,maze-event,0,other,0
1456,event-maze,60,trump,0.4918032786885246
1456,event-maze,50,harris,0.4098360655737705
1456,event-maze,12,other,0.09836065573770492
2282,spr-event,54,trump,0.5346534653465347
2282,spr-event,47,harris,0.46534653465346537
2282,spr-event,0,other,0
2046,spr-event,45,harris,0.44554455445544555
2046,spr-event,56,trump,0.5544554455445545
2046,spr-event,0,other,0
2677,spr-event,76,trump,0.7676767676767676
2677,spr-event,23,harris,0.23232323232323232
2677,spr-event,0,other,0
1480,event-maze,47,harris,0.46534653465346537
1480,event-maze,51,trump,0.504950495049505
1480,event-maze,3,other,0.0297029702970297
1979,event-maze,43,harris,0.46236559139784944
1979,event-maze,50,trump,0.5376344086021505
1979,event-maze,0,other,0
2098,cloze-event,75,harris,0.75
2098,cloze-event,25,trump,0.25
2098,cloze-event,0,other,0
2301,spr-event,46,trump,0.46938775510204084
2301,spr-event,52,harris,0.5306122448979592
2301,spr-event,0,other,0
2613,maze-event,93,trump,0.808695652173913
2613,maze-event,22,harris,0.19130434782608696
2613,maze-event,0,other,0
1861,cloze-event,100,trump,1
1861,cloze-event,0,harris,0
1861,cloze-event,0,other,0
2104,event-cloze,50,harris,0.36764705882352944
2104,event-cloze,76,trump,0.5588235294117647
2104,event-cloze,10,other,0.07352941176470588
1627,event-spr,54,harris,0.5346534653465347
1627,event-spr,47,trump,0.46534653465346537
1627,event-spr,0,other,0
2779,maze-event,40,trump,0.3883495145631068
